model,question,tier,time_ms,time_s,cost_usd,total_tokens,prompt_tokens,completion_tokens,reasoning_tokens,tool_calls,successful_tool_calls,api_calls,completed,thinking_steps
openai/gpt-5,tier2_006,tier2,269867.45595932007,269.86745595932007,0.06518575,108033,104299,3734,2560,7,7,8,True,11
deepseek/deepseek-chat-v3.1,tier2_006,tier2,197515.03586769104,197.51503586769104,0.0,89212,88470,742,0,5,5,6,True,12
anthropic/claude-sonnet-4,tier2_006,tier2,222348.5460281372,222.3485460281372,0.339999,107761,106368,1393,0,5,5,6,True,13
google/gemini-2.5-pro,tier2_001,tier2,80986.03510856628,80.98603510856628,0.0352221,34534,33424,1110,1022,2,2,3,True,4
anthropic/claude-sonnet-4.5,tier2_001,tier2,469766.73889160156,469.76673889160156,1.4841,483796,481070,2726,0,16,16,15,True,35
anthropic/claude-opus-4.1,tier2_001,tier2,289115.86928367615,289.11586928367615,5.91261,385914,383849,2065,0,12,12,13,True,24
openai/o3,tier2_001,tier2,108533.13994407654,108.53313994407654,0.06689,39319,38173,1146,960,2,2,3,True,4
x-ai/grok-4-fast,tier2_001,tier2,70319.34690475464,70.31934690475464,0.0,41406,41119,287,178,2,2,3,True,4
x-ai/grok-code-fast-1,tier2_001,tier2,149643.5661315918,149.6435661315918,0.03690614,835784,829213,6571,3035,31,31,31,True,33
openai/gpt-5,tier2_001,tier2,781303.5306930542,781.3035306930542,0.3012835,1120634,1112150,8484,5312,38,38,38,True,44
deepseek/deepseek-chat-v3.1,tier2_001,tier2,384993.66903305054,384.99366903305054,0.0,321416,319931,1485,0,14,14,15,True,33
anthropic/claude-sonnet-4,tier2_001,tier2,280163.8970375061,280.1638970375061,1.171623,381017,378636,2381,0,12,12,13,True,23
google/gemini-2.5-pro,tier1_009,tier1,177916.6362285614,177.9166362285614,0.08659175,72901,69063,3838,3388,5,5,6,True,11
anthropic/claude-sonnet-4.5,tier1_009,tier1,291569.8928833008,291.5698928833008,0.46967100000000006,150093,148477,1616,0,10,10,8,True,19
anthropic/claude-opus-4.1,tier1_009,tier1,130470.2000617981,130.4702000617981,2.9182049999999995,188291,186727,1564,0,9,9,10,True,18
openai/o3,tier1_009,tier1,95326.40886306763,95.32640886306763,0.042499999999999996,37132,36506,626,448,2,2,3,True,4
x-ai/grok-4-fast,tier1_009,tier1,71685.43910980225,71.68543910980225,0.0,41517,40892,625,511,2,2,3,True,4
x-ai/grok-code-fast-1,tier1_009,tier1,93407.33218193054,93.40733218193054,0.00727348,90423,88451,1972,1736,5,5,6,True,7
openai/gpt-5,tier1_009,tier1,220254.07218933105,220.25407218933105,0.07853575,84982,81531,3451,2624,6,6,6,True,10
deepseek/deepseek-chat-v3.1,tier1_009,tier1,151583.77528190613,151.58377528190613,0.0,124452,123512,940,0,7,7,8,True,16
anthropic/claude-sonnet-4,tier1_009,tier1,138447.48997688293,138.44748997688293,0.765243,247629,245766,1863,0,12,12,13,True,22
google/gemini-2.5-pro,tier1_007,tier1,11217.801809310913,11.217801809310913,0.03268875,21587,20935,652,411,1,1,2,True,3
anthropic/claude-sonnet-4.5,tier1_007,tier1,295831.3579559326,295.8313579559326,0.514659,163117,161008,2109,0,10,10,8,True,20
anthropic/claude-opus-4.1,tier1_007,tier1,480769.2427635193,480.7692427635193,2.06601,132474,131159,1315,0,6,6,7,True,16
openai/o3,tier1_007,tier1,77502.36201286316,77.50236201286316,0.045226,37985,34789,3196,3008,2,2,3,True,3
x-ai/grok-4-fast,tier1_007,tier1,57539.29018974304,57.53929018974304,0.0,104185,97649,6536,6181,5,5,6,True,7
x-ai/grok-code-fast-1,tier1_007,tier1,71449.9819278717,71.4499819278717,0.01863878,37080,26533,10547,10516,1,1,2,True,1
openai/gpt-5,tier1_007,tier1,70385.36381721497,70.38536381721497,0.0184225,40664,37572,3092,2432,2,2,3,True,4
deepseek/deepseek-chat-v3.1,tier1_007,tier1,82822.56412506104,82.82256412506104,0.0,215133,214335,798,0,16,16,15,True,26
anthropic/claude-sonnet-4,tier1_007,tier1,80472.28193283081,80.47228193283081,0.396861,127011,125692,1319,0,6,6,7,True,15
google/gemini-2.5-pro,tier1_010,tier1,100909.90996360779,100.90990996360779,0.07508888,58999,56676,2323,1982,4,4,5,True,8
anthropic/claude-sonnet-4.5,tier1_010,tier1,257145.91479301453,257.1459147930145,0.40836900000000004,130155,128663,1492,0,8,8,7,True,16
anthropic/claude-opus-4.1,tier1_010,tier1,118483.86287689209,118.48386287689209,2.615595,168485,167013,1472,0,8,8,9,True,16
openai/o3,tier1_010,tier1,110466.3290977478,110.4663290977478,0.060274,63173,61961,1212,960,4,4,5,True,6
x-ai/grok-4-fast,tier1_010,tier1,74997.95413017273,74.99795413017273,0.0,68715,67944,771,586,4,4,5,True,6
x-ai/grok-code-fast-1,tier1_010,tier1,90816.52998924255,90.81652998924255,0.00742372,91295,89315,1980,1497,5,5,6,True,8
openai/gpt-5,tier1_010,tier1,266433.3961009979,266.4333961009979,0.09263375,176512,171475,5037,3840,11,11,12,True,15
deepseek/deepseek-chat-v3.1,tier1_010,tier1,143680.43494224548,143.68043494224548,0.0,90529,89687,842,0,5,5,6,True,12
anthropic/claude-sonnet-4,tier1_010,tier1,117975.80122947693,117.97580122947693,0.632562,204150,202474,1676,0,10,10,11,True,20
google/gemini-2.5-pro,tier1_002,tier1,360367.37275123596,360.36737275123596,0.08942301,106677,104145,2532,1619,8,8,9,True,22
anthropic/claude-sonnet-4.5,tier1_002,tier1,182130.4953098297,182.1304953098297,0.298575,94593,93360,1233,0,4,4,5,True,10
anthropic/claude-opus-4.1,tier1_002,tier1,733328.5591602325,733.3285591602325,2.927895,188017,186223,1794,0,9,9,10,True,24
openai/o3,tier1_002,tier1,26564.528942108154,26.564528942108154,0.042346,36215,35501,714,512,2,2,3,True,3
x-ai/grok-4-fast,tier1_002,tier1,22278.39684486389,22.27839684486389,0.0,41508,40589,919,806,2,2,3,True,4
x-ai/grok-code-fast-1,tier1_002,tier1,22818.341970443726,22.818341970443726,0.00411926,41361,40816,545,430,2,2,3,True,4
openai/gpt-5,tier1_002,tier1,351023.2081413269,351.0232081413269,0.143837875,462534,456411,6123,3712,26,26,27,True,35
deepseek/deepseek-chat-v3.1,tier1_002,tier1,79707.09419250488,79.70709419250488,0.0,104930,104376,554,0,7,7,7,False,17
anthropic/claude-sonnet-4,tier1_002,tier1,319881.28876686096,319.88128876686096,0.912048,294536,292166,2370,0,13,13,14,True,34
google/gemini-2.5-pro,tier1_005,tier1,660616.7056560516,660.6167056560516,0.08571739,114854,112665,2189,1697,9,9,10,True,22
anthropic/claude-sonnet-4.5,tier1_005,tier1,326040.7829284668,326.0407829284668,0.35401499999999997,113089,111860,1229,0,5,5,6,True,13
anthropic/claude-opus-4.1,tier1_005,tier1,476563.87090682983,476.56387090682983,2.0457,131112,129795,1317,0,6,6,7,True,16
openai/o3,tier1_005,tier1,30728.925943374634,30.728925943374634,0.040238,35401,34895,506,320,2,2,3,True,3
x-ai/grok-4-fast,tier1_005,tier1,20997.58219718933,20.99758219718933,0.0,40398,39768,630,503,2,2,3,True,4
x-ai/grok-code-fast-1,tier1_005,tier1,29482.46192932129,29.48246192932129,0.006287320000000001,40996,40526,470,365,2,2,3,True,4
openai/gpt-5,tier1_005,tier1,252003.98898124695,252.00398898124695,0.070499125,373544,368331,5213,3200,24,24,24,True,29
deepseek/deepseek-chat-v3.1,tier1_005,tier1,357805.8249950409,357.8058249950409,0.0,229425,227878,1547,0,49,49,15,False,68
anthropic/claude-sonnet-4,tier1_005,tier1,4661350.490093231,4661.350490093231,1.403448,455936,452966,2970,0,22,22,23,True,64
google/gemini-2.5-pro,tier2_004,tier2,293588.44208717346,293.58844208717346,0.18769743,170707,163313,7394,6531,9,9,10,True,15
anthropic/claude-sonnet-4.5,tier2_004,tier2,150352.26583480835,150.35226583480835,0.85914,276516,274050,2466,0,10,10,9,True,20
anthropic/claude-opus-4.1,tier2_004,tier2,354597.6986885071,354.5976986885071,4.967865,321331,318866,2465,0,11,11,12,True,25
openai/o3,tier2_004,tier2,75423.89011383057,75.42389011383057,0.051558,40125,38507,1618,1408,2,2,3,True,3
x-ai/grok-4-fast,tier2_004,tier2,72513.6890411377,72.5136890411377,0.0,41807,41185,622,529,2,2,3,True,4
x-ai/grok-code-fast-1,tier2_004,tier2,1594976.6490459442,1594.9766490459442,0.04573542,1017686,1005759,11927,10082,28,28,29,True,55
openai/gpt-5,tier2_004,tier2,786390.3331756592,786.3903331756592,0.3356755,1095344,1081094,14250,10944,31,31,32,True,35
deepseek/deepseek-chat-v3.1,tier2_004,tier2,321479.11977767944,321.47911977767944,0.0,184711,183489,1222,0,9,9,10,True,21
anthropic/claude-sonnet-4,tier2_004,tier2,504795.86911201477,504.79586911201477,0.735546,236266,234037,2229,0,10,10,11,True,24
google/gemini-2.5-pro,tier2_003,tier2,17189.12100791931,17.18912100791931,0.04087604,34265,33432,833,716,2,2,3,True,3
anthropic/claude-sonnet-4.5,tier2_003,tier2,434445.82986831665,434.44582986831665,0.660666,210938,208617,2321,0,9,9,10,True,21
anthropic/claude-opus-4.1,tier2_003,tier2,326818.9527988434,326.8189527988434,3.3482700000000003,215050,213008,2042,0,9,9,10,True,22
openai/o3,tier2_003,tier2,201151.83997154236,201.15183997154236,0.264866,367027,364457,2570,1216,21,21,22,True,22
x-ai/grok-4-fast,tier2_003,tier2,537525.9020328522,537.5259020328522,0.0,170007,167150,2857,987,9,9,10,True,18
x-ai/grok-code-fast-1,tier2_003,tier2,364275.47001838684,364.27547001838684,0.0243323,133324,121693,11631,4055,7,7,7,True,12
openai/gpt-5,tier2_003,tier2,470848.9463329315,470.8489463329315,0.104576,176591,170760,5831,4096,9,9,10,True,19
deepseek/deepseek-chat-v3.1,tier2_003,tier2,315508.7320804596,315.5087320804596,0.0,172382,171229,1153,0,9,9,10,True,22
anthropic/claude-sonnet-4,tier2_003,tier2,309992.4910068512,309.9924910068512,0.590283,189045,187116,1929,0,8,8,9,True,20
google/gemini-2.5-pro,tier3_003,tier3,109711.23790740967,109.71123790740967,0.05804235,37216,33959,3257,3132,2,2,3,True,4
anthropic/claude-sonnet-4.5,tier3_003,tier3,1786797.107219696,1786.797107219696,1.9144109999999999,613061,606792,6269,0,23,23,20,True,52
anthropic/claude-opus-4.1,tier3_003,tier3,1941220.046043396,1941.220046043396,34.76451,2285558,2277539,8019,0,43,43,44,True,76
openai/o3,tier3_003,tier3,189044.99506950378,189.04499506950378,0.062000000000000006,57223,55756,1467,1216,3,3,4,True,5
x-ai/grok-4-fast,tier3_003,tier3,70698.0140209198,70.6980140209198,0.0,42939,42541,398,255,2,2,3,True,4
x-ai/grok-code-fast-1,tier3_003,tier3,135923.53296279907,135.92353296279907,0.00527712,45813,44823,990,763,2,2,3,True,4
openai/gpt-5,tier3_003,tier3,614190.484046936,614.190484046936,0.23798975,615437,605211,10226,6528,28,28,25,True,34
deepseek/deepseek-chat-v3.1,tier3_003,tier3,1470723.6211299896,1470.7236211299896,0.0,366712,364431,2281,0,20,20,21,True,48
anthropic/claude-sonnet-4,tier3_003,tier3,1641684.4658851624,1641.6844658851624,2.136765,693431,688725,4706,0,22,22,23,True,53
google/gemini-2.5-pro,tier3_004,tier3,723374.3989467621,723.3743989467621,0.1575598,199809,194492,5317,3765,14,14,15,True,35
anthropic/claude-sonnet-4.5,tier3_004,tier3,1389751.4588832855,1389.7514588832855,0.0,560784,554227,6557,0,47,47,20,True,72
anthropic/claude-opus-4.1,tier3_004,tier3,817420.3009605408,817.4203009605408,4.806405,309771,307107,2664,0,14,14,15,True,36
openai/o3,tier3_004,tier3,87503.13019752502,87.50313019752502,0.058742,41668,39143,2525,2304,2,2,3,True,3
x-ai/grok-4-fast,tier3_004,tier3,497598.7899303436,497.5987899303436,0.0,626628,616339,10289,6563,37,37,24,True,59
x-ai/grok-code-fast-1,tier3_004,tier3,712066.4319992065,712.0664319992065,0.016534300000000002,221438,217487,3951,2542,12,12,13,True,29
openai/gpt-5,tier3_004,tier3,802661.6129875183,802.6616129875183,0.25181125,1572348,1561128,11220,6528,59,59,60,True,72
deepseek/deepseek-chat-v3.1,tier3_004,tier3,163654.0219783783,163.6540219783783,0.0,198016,197076,940,0,13,13,13,True,24
anthropic/claude-sonnet-4,tier3_004,tier3,757512.4979019165,757.5124979019165,1.044543,335661,332531,3130,0,15,15,16,True,38
google/gemini-2.5-pro,tier2_002,tier2,275537.03689575195,275.53703689575195,0.16935113000000002,143966,137747,6219,4978,12,12,8,True,19
anthropic/claude-sonnet-4.5,tier2_002,tier2,254365.59891700745,254.36559891700745,0.595359,189797,187633,2164,0,8,8,7,True,17
anthropic/claude-opus-4.1,tier2_002,tier2,168505.1760673523,168.5051760673523,5.52468,358848,356482,2366,0,12,12,13,True,20
openai/o3,tier2_002,tier2,224637.57419586182,224.63757419586182,0.437012,659893,656334,3559,1792,21,21,22,True,22
x-ai/grok-4-fast,tier2_002,tier2,173717.49806404114,173.71749806404114,0.0,1023437,1017418,6019,3045,32,32,33,True,33
x-ai/grok-code-fast-1,tier2_002,tier2,911095.0660705566,911.0950660705566,0.00707398,91020,89249,1771,1437,5,5,6,True,7
openai/gpt-5,tier2_002,tier2,868221.5888500214,868.2215888500214,0.36548175,1581895,1570715,11180,7360,41,41,42,True,51
deepseek/deepseek-chat-v3.1,tier2_002,tier2,189003.91483306885,189.00391483306885,0.0,203629,202649,980,0,8,8,9,True,19
anthropic/claude-sonnet-4,tier2_002,tier2,290326.553106308,290.326553106308,1.21812,395304,392620,2684,0,13,13,14,True,27
google/gemini-2.5-pro,tier2_005,tier2,222163.42306137085,222.16342306137085,0.07228008,70336,68622,1714,1283,5,5,6,True,10
anthropic/claude-sonnet-4.5,tier2_005,tier2,596066.9331550598,596.0669331550598,0.40610999999999997,130410,129170,1240,0,6,6,7,True,16
anthropic/claude-opus-4.1,tier2_005,tier2,473615.10610580444,473.61510610580444,2.00652,129032,127848,1184,0,6,6,7,True,16
openai/o3,tier2_005,tier2,94797.34921455383,94.79734921455383,0.042882,37191,36489,702,512,2,2,3,True,4
x-ai/grok-4-fast,tier2_005,tier2,71433.08591842651,71.43308591842651,0.0,41466,40893,573,442,2,2,3,True,4
x-ai/grok-code-fast-1,tier2_005,tier2,71814.54086303711,71.81454086303711,0.01362116,268866,265396,3470,2586,15,15,16,True,16
openai/gpt-5,tier2_005,tier2,390605.5819988251,390.6055819988251,0.0584175,86452,83486,2966,2240,5,5,6,True,11
deepseek/deepseek-chat-v3.1,tier2_005,tier2,166847.2831249237,166.8472831249237,0.0,93693,92763,930,0,5,5,6,True,12
anthropic/claude-sonnet-4,tier2_005,tier2,226026.39603614807,226.02639603614807,0.341475,109685,108650,1035,0,5,5,6,True,13
google/gemini-2.5-pro,tier1_004,tier1,4046199.563026428,4046.199563026428,0.23404678,149491,140818,8673,2650,9,9,8,True,16
anthropic/claude-sonnet-4.5,tier1_004,tier1,956464.3969535828,956.4643969535828,0.9866520000000001,314764,311234,3530,0,13,13,9,True,27
anthropic/claude-opus-4.1,tier1_004,tier1,96740.19312858582,96.74019312858582,1.730655,108881,107257,1624,0,4,4,5,True,10
openai/o3,tier1_004,tier1,29145.153045654297,29.145153045654297,0.041514,36087,35533,554,384,2,2,3,True,3
x-ai/grok-4-fast,tier1_004,tier1,21093.842029571533,21.093842029571533,0.0,40955,40280,675,559,2,2,3,True,4
x-ai/grok-code-fast-1,tier1_004,tier1,20458.064317703247,20.458064317703247,0.00396502,41249,40832,417,303,2,2,3,True,4
openai/gpt-5,tier1_004,tier1,236742.8240776062,236.7428240776062,0.077037125,400234,394989,5245,3264,14,14,15,True,21
deepseek/deepseek-chat-v3.1,tier1_004,tier1,2132594.516992569,2132.594516992569,0.0,150210,149627,583,0,9,9,10,True,16
anthropic/claude-sonnet-4,tier1_004,tier1,136651.00073814392,136.65100073814392,0.460083,146633,144951,1682,0,6,6,7,True,16
google/gemini-2.5-pro,tier1_003,tier1,670992.3717975616,670.9923717975616,0.09736618,119230,116256,2974,2225,9,9,10,True,24
anthropic/claude-sonnet-4.5,tier1_003,tier1,916209.5911502838,916.2095911502838,0.44157599999999997,140476,138797,1679,0,6,6,7,True,15
anthropic/claude-opus-4.1,tier1_003,tier1,243631.16908073425,243.63116908073425,3.027315,195337,193716,1621,0,9,9,10,True,23
openai/o3,tier1_003,tier1,45453.22918891907,45.45322918891907,0.048118,38159,36971,1188,1024,2,2,3,True,3
x-ai/grok-4-fast,tier1_003,tier1,21204.702138900757,21.204702138900757,0.0,41362,40577,785,669,2,2,3,True,4
x-ai/grok-code-fast-1,tier1_003,tier1,685787.2331142426,685.7872331142426,0.01402654,178754,174215,4539,3541,9,9,10,True,22
openai/gpt-5,tier1_003,tier1,413878.76892089844,413.87876892089844,0.098939125,664378,655837,8541,5568,33,33,34,True,38
deepseek/deepseek-chat-v3.1,tier1_003,tier1,114046.04983329773,114.04604983329773,0.0,185881,185050,831,0,11,11,12,True,24
anthropic/claude-sonnet-4,tier1_003,tier1,700771.4459896088,700.7714459896088,0.790944,255356,253283,2073,0,12,12,13,True,31
google/gemini-2.5-pro,tier3_005,tier3,2268312.111854553,2268.312111854553,0.20796754,150989,146698,4291,3102,9,9,10,True,22
anthropic/claude-sonnet-4.5,tier3_005,tier3,984796.2169647217,984.7962169647217,0.0,369802,365952,3850,0,12,12,13,True,30
anthropic/claude-opus-4.1,tier3_005,tier3,1479183.1250190735,1479.1831250190735,7.83393,508526,505092,3434,0,16,16,17,True,39
openai/o3,tier3_005,tier3,107206.2919139862,107.2062919139862,0.067702,56912,54967,1945,1600,3,3,4,True,5
x-ai/grok-code-fast-1,tier3_005,tier3,77579.12302017212,77.57912302017212,0.0058385799999999995,47600,46391,1209,1012,2,2,3,True,4
openai/gpt-5,tier3_005,tier3,3793116.9879436493,3793.1169879436493,0.37077175,344440,319707,24733,22016,15,15,16,True,35
deepseek/deepseek-chat-v3.1,tier3_005,tier3,1970483.8509559631,1970.4838509559631,0.0,365042,362742,2300,0,18,18,19,True,45
anthropic/claude-sonnet-4,tier3_005,tier3,1908156.6469669342,1908.1566469669342,1.029477,335087,333069,2018,0,12,12,13,True,33
google/gemini-2.5-pro,tier3_002,tier3,119044.22211647034,119.04422211647034,0.10690906,110139,107048,3091,1985,7,7,8,True,13
anthropic/claude-sonnet-4.5,tier3_002,tier3,262873.39997291565,262.87339997291565,0.0,124768,121800,2968,0,10,10,5,True,16
anthropic/claude-opus-4.1,tier3_002,tier3,166540.9059524536,166.5409059524536,4.34448,279680,277192,2488,0,11,11,12,True,23
openai/o3,tier3_002,tier3,99876.89971923828,99.87689971923828,0.046612,38528,37458,1070,896,2,2,3,True,4
x-ai/grok-4-fast,tier3_002,tier3,115470.86524963379,115.47086524963379,0.0,419751,412873,6878,3300,20,20,21,True,21
x-ai/grok-code-fast-1,tier3_002,tier3,258206.98595046997,258.20698595046997,0.0225229,158873,152786,6087,1932,69,69,7,True,72
openai/gpt-5,tier3_002,tier3,536758.9330673218,536.7589330673218,0.22067575,699919,692451,7468,4480,23,23,24,True,29
deepseek/deepseek-chat-v3.1,tier3_002,tier3,379812.92390823364,379.81292390823364,0.0,232564,230895,1669,0,11,11,12,True,26
anthropic/claude-sonnet-4,tier3_002,tier3,162489.59803581238,162.48959803581238,0.7850130000000001,251091,248446,2645,0,10,10,11,True,20
